id;author;description;guid;to;likecount;link;pubdate;replycount;title;authorChannelUrl;intention
11;peter gaffney;I called my son in Ohio and told him to go get a whole bunch of food and supplies why? not because of the virus but because of the fear of the virus that will cause people to empty the shelves of the store. One thing you want to keep in mind as you\'re traveling is that you can get access to primary 1st world polminary medical care. The twofold danger is having a secondary illness in old age or not having good medical care.;Ugw8VGG4VYo93NwOY9d4AaABAg;;1;https://www.youtube.com/watch?v=NnZN49e_6Vw&lc=Ugw8VGG4VYo93NwOY9d4AaABAg;2020-03-05 13:52:38;1;I called my son in Ohio and told him to go get a whole bunch of food and supplies why? not because of the virus but because of the fear of the virus that will cause people to empty the shelves of the store. One thing you want to keep in mind as you\'re traveling is that you can get access to primary 1st world polminary medical care. The twofold danger is having a secondary illness in old age or not having good medical care.;http://www.youtube.com/channel/UCk37BuxkGDEQBIxCUJ1JtTw;0
12;Johnny FD;The problem with people being afraid of empty shelves, causes everyone to start hoarding full and supplies all at once, which then becomes the actual cause of empty shelves. Look at the toilet paper situation for an example. Personally I think that everyone with a house or long term rental should always have 2 weeks of food and water and supplies at hand always regardless of what has happened. Neil Strauss\' Emergency was a great book for that inspired me to start doing that years ago. As for Medical care, I trust the pulmonary medical care much more in Thailand than I would in the US, especially with the US being overworked and understaffed. For places like Thailand, Sri Lanka, Ukraine, etc, the good news for us, is that they have private hospitals as an option that won\'t get over crowded as they are too expensive for most locals to go to. It\'ll be more difficult to get medical care in the US, Canada, and the UK if things really did get bad.;Ugw8VGG4VYo93NwOY9d4AaABAg.95piT9fZRVc95qVf8F6uuc;peter gaffney;1;https://www.youtube.com/watch?v=NnZN49e_6Vw&lc=Ugw8VGG4VYo93NwOY9d4AaABAg.95piT9fZRVc95qVf8F6uuc;2020-03-05 21:11:18;0;The problem with people being afraid of empty shelves, causes everyone to start hoarding full and supplies all at once, which then becomes the actual cause of empty shelves. Look at the toilet paper situation for an example. Personally I think that everyone with a house or long term rental should always have 2 weeks of food and water and supplies at hand always regardless of what has happened. Neil Strauss\' Emergency was a great book for that inspired me to start doing that years ago. As for Medical care, I trust the pulmonary medical care much more in Thailand than I would in the US, especially with the US being overworked and understaffed. For places like Thailand, Sri Lanka, Ukraine, etc, the good news for us, is that they have private hospitals as an option that won\'t get over crowded as they are too expensive for most locals to go to. It\'ll be more difficult to get medical care in the US, Canada, and the UK if things really did get bad.;http://www.youtube.com/channel/UCNB_Oqy28vN6GZxq-ILVzBw;0
13;peter gaffney;In some ways racism can not be avoided. I just left Vietnam where some Japanese are returning to Japan because taxis will not stop for them because they think that maybe they are Chinese. It is just an accident of circumstances that requires generalization. You cannot interview each individual. I decided to skip Cambodia and Thailand and go directly to Tbilisi Georgia not because of the virus directly but because airlines were beginning to shut down access out of Thailand because when a disease hits Thailand it spreads everywhere because of the sex trade and sense we do not know the extent of which this disease will affect transportation and health options I did not want to get stuck in Thailand.;UgzlceBQYb-K-ohSEe54AaABAg;;0;https://www.youtube.com/watch?v=NnZN49e_6Vw&lc=UgzlceBQYb-K-ohSEe54AaABAg;2020-03-05 13:38:15;0;In some ways racism can not be avoided. I just left Vietnam where some Japanese are returning to Japan because taxis will not stop for them because they think that maybe they are Chinese. It is just an accident of circumstances that requires generalization. You cannot interview each individual. I decided to skip Cambodia and Thailand and go directly to Tbilisi Georgia not because of the virus directly but because airlines were beginning to shut down access out of Thailand because when a disease hits Thailand it spreads everywhere because of the sex trade and sense we do not know the extent of which this disease will affect transportation and health options I did not want to get stuck in Thailand.;http://www.youtube.com/channel/UCk37BuxkGDEQBIxCUJ1JtTw;0
14;Priester Jackson;great video and I love the outro 😃;UgwiPu-MHMrJvfrpefp4AaABAg;;1;https://www.youtube.com/watch?v=NnZN49e_6Vw&lc=UgwiPu-MHMrJvfrpefp4AaABAg;2020-03-05 11:50:43;1;great video and I love the outro 😃;http://www.youtube.com/channel/UC6PuGqTaIpqxJHTnJK9ItNg;0
15;Johnny FD;Haha glad you enjoyed the little bit at the end to lighten things up. =);UgwiPu-MHMrJvfrpefp4AaABAg.95pVWDC03ty95qViQu8701;Priester Jackson;0;https://www.youtube.com/watch?v=NnZN49e_6Vw&lc=UgwiPu-MHMrJvfrpefp4AaABAg.95pVWDC03ty95qViQu8701;2020-03-05 21:11:45;0;Haha glad you enjoyed the little bit at the end to lighten things up. =);http://www.youtube.com/channel/UCNB_Oqy28vN6GZxq-ILVzBw;0
16;Thomas;Jhonny about time for a laptop upgrade mate just get the pro, Air\'s are shit now i have the same one but an 11\'\'inch good in its day , but the pros are just as small now;Ugz6xZtWTNvY2DhNrrF4AaABAg;;1;https://www.youtube.com/watch?v=NnZN49e_6Vw&lc=Ugz6xZtWTNvY2DhNrrF4AaABAg;2020-03-05 10:00:44;1;Jhonny about time for a laptop upgrade mate just get the pro, Air\'s are shit now i have the same one but an 11\'\'inch good in its day , but the pros are just as small now;http://www.youtube.com/channel/UCRaZ5dFaKqCQD_pWqlUzHIg;0
17;Johnny FD;"I\'m waiting for the 14"" Macbook Pro to come out. The current Pros have too many issues with the keyboard and I travel too much to places without Apple stores.";Ugz6xZtWTNvY2DhNrrF4AaABAg.95pIvlkyDGP95pTCnHtAa-;Thomas;1;https://www.youtube.com/watch?v=NnZN49e_6Vw&lc=Ugz6xZtWTNvY2DhNrrF4AaABAg.95pIvlkyDGP95pTCnHtAa-;2020-03-05 11:30:35;0;"I\'m waiting for the 14"" Macbook Pro to come out. The current Pros have too many issues with the keyboard and I travel too much to places without Apple stores.";http://www.youtube.com/channel/UCNB_Oqy28vN6GZxq-ILVzBw;0
18;Cloxxki;Yup, I might go to Eastern Europe this summer. Stuff to see and try in Minsk, see more of Moscow, hang out in Moldova. Anyone experienced with the Estonian digital citizenship? I\'m curious what it might mean in reality.;Ugw6bUxZSri-2-WFdSp4AaABAg;;2;https://www.youtube.com/watch?v=NnZN49e_6Vw&lc=Ugw6bUxZSri-2-WFdSp4AaABAg;2020-03-05 07:41:02;5;Yup, I might go to Eastern Europe this summer. Stuff to see and try in Minsk, see more of Moscow, hang out in Moldova. Anyone experienced with the Estonian digital citizenship? I\'m curious what it might mean in reality.;http://www.youtube.com/channel/UCC6v2Sw5LkCGcGaCvVBclZw;0
19;Eric Yuan;@Zeek F. It\'s only a tax shelter if you\'re able to claim residency in a low tax or territorial tax country because if you decide to take a salary, u still get taxed by your residence country.;Ugw6bUxZSri-2-WFdSp4AaABAg.95p2wZQAvwB95qpGab0wfG;Cloxxki;1;https://www.youtube.com/watch?v=NnZN49e_6Vw&lc=Ugw6bUxZSri-2-WFdSp4AaABAg.95p2wZQAvwB95qpGab0wfG;2020-03-06 00:11:19;0;@Zeek F. It\'s only a tax shelter if you\'re able to claim residency in a low tax or territorial tax country because if you decide to take a salary, u still get taxed by your residence country.;http://www.youtube.com/channel/UCLe0PIY13XnAEuimvMvDphw;0
20;Zeek F.;The Estoanian Business thing is more useful than e-citizenship. You get a tax shelter without any of the complications -- as far as the e-citizenship unless you\'re non-euro and want to visit western-europe for 6  months a year then it\'s not very useful imo.;Ugw6bUxZSri-2-WFdSp4AaABAg.95p2wZQAvwB95qnWnfj5TP;Cloxxki;0;https://www.youtube.com/watch?v=NnZN49e_6Vw&lc=Ugw6bUxZSri-2-WFdSp4AaABAg.95p2wZQAvwB95qnWnfj5TP;2020-03-05 23:56:03;0;The Estoanian Business thing is more useful than e-citizenship. You get a tax shelter without any of the complications -- as far as the e-citizenship unless you\'re non-euro and want to visit western-europe for 6  months a year then it\'s not very useful imo.;http://www.youtube.com/channel/UCXKW_ds7AJH41U4Y2U8EELQ;0
21;Eric Yuan;It\'s not a citizenship.;Ugw6bUxZSri-2-WFdSp4AaABAg.95p2wZQAvwB95pFmXWwQXq;Cloxxki;0;https://www.youtube.com/watch?v=NnZN49e_6Vw&lc=Ugw6bUxZSri-2-WFdSp4AaABAg.95p2wZQAvwB95pFmXWwQXq;2020-03-05 09:33:16;0;It\'s not a citizenship.;http://www.youtube.com/channel/UCLe0PIY13XnAEuimvMvDphw;0
22;john smith;Go to Ukraine!;Ugw6bUxZSri-2-WFdSp4AaABAg.95p2wZQAvwB95p8AkNglUX;Cloxxki;0;https://www.youtube.com/watch?v=NnZN49e_6Vw&lc=Ugw6bUxZSri-2-WFdSp4AaABAg.95p2wZQAvwB95p8AkNglUX;2020-03-05 08:26:48;0;Go to Ukraine!;http://www.youtube.com/channel/UC9BJozjZFNgVVJhdzf4mqMg;0
23;Johnny FD;If you go to Moldova you might want to check out Transnistria for the day: https://www.johnnyfd.com/2018/07/johnnys-guide-to-tiraspol-transnistria.html;Ugw6bUxZSri-2-WFdSp4AaABAg.95p2wZQAvwB95p4p6hyLuM;Cloxxki;0;https://www.youtube.com/watch?v=NnZN49e_6Vw&lc=Ugw6bUxZSri-2-WFdSp4AaABAg.95p2wZQAvwB95p4p6hyLuM;2020-03-05 07:57:30;0;If you go to Moldova you might want to check out Transnistria for the day: https://www.johnnyfd.com/2018/07/johnnys-guide-to-tiraspol-transnistria.html;http://www.youtube.com/channel/UCNB_Oqy28vN6GZxq-ILVzBw;0
24;Zeek F.;2:47 - You sure you aren\'t in taiwan right now? Sure sounds like a taiwanese garbage truck to me 😉;UgxoVGYzlYLbkvp0uoV4AaABAg;;1;https://www.youtube.com/watch?v=NnZN49e_6Vw&lc=UgxoVGYzlYLbkvp0uoV4AaABAg;2020-03-05 07:34:24;1;2:47 - You sure you aren\'t in taiwan right now? Sure sounds like a taiwanese garbage truck to me 😉;http://www.youtube.com/channel/UCXKW_ds7AJH41U4Y2U8EELQ;0
25;Johnny FD;haha they have the exact same ones in Sri Lanka. =);UgxoVGYzlYLbkvp0uoV4AaABAg.95p2Ayk16PE95p4iYd-gWD;Zeek F.;1;https://www.youtube.com/watch?v=NnZN49e_6Vw&lc=UgxoVGYzlYLbkvp0uoV4AaABAg.95p2Ayk16PE95p4iYd-gWD;2020-03-05 07:56:36;0;haha they have the exact same ones in Sri Lanka. =);http://www.youtube.com/channel/UCNB_Oqy28vN6GZxq-ILVzBw;0
